# RTTI index for eldenring.exe (imagebase 0x140000000)
# vtable_rva	td_rva	ctor_rvas	mangled_name   (RVAs are er_base-relative)
0x2eef840	0x3d23010	0x18d3e90	.?AU?$AabbOverlaps@$00V?$hkArray@U?$hkHandle@I$0PPPPPPPP@UhknpShapeKeyDiscriminant@@@@UhkContainerHeapAllocator@@@@@hknpCompoundShapeEx@@
0x2eef870	0x3d231d0	0x18d4290	.?AU?$AabbOverlaps@$00VhknpCollisionQueryCollector@@@hknpCompoundShapeEx@@
0x2eef858	0x3d230f0	0x18d3e90	.?AU?$AabbOverlaps@$0A@V?$hkArray@U?$hkHandle@I$0PPPPPPPP@UhknpShapeKeyDiscriminant@@@@UhkContainerHeapAllocator@@@@@hknpCompoundShapeEx@@
0x2eef888	0x3d23230	0x18d4290	.?AU?$AabbOverlaps@$0A@VhknpCollisionQueryCollector@@@hknpCompoundShapeEx@@
0x2ef05d0	0x3d23ab0	0x190bb20	.?AU?$AabbOverlaps@V?$hkArray@U?$hkHandle@I$0PPPPPPPP@UhknpShapeKeyDiscriminant@@@@UhkContainerHeapAllocator@@@@@hknpCompressedMeshShapeInternals@@
0x2ef05e0	0x3d23ab0	0x190bb20	.?AU?$AabbOverlaps@V?$hkArray@U?$hkHandle@I$0PPPPPPPP@UhknpShapeKeyDiscriminant@@@@UhkContainerHeapAllocator@@@@@hknpCompressedMeshShapeInternals@@
0x2ef05f8	0x3d23b60	0x190be50	.?AU?$AabbOverlaps@VhknpCollisionQueryCollector@@@hknpCompressedMeshShapeInternals@@
0x2ef0608	0x3d23b60	0x190be50	.?AU?$AabbOverlaps@VhknpCollisionQueryCollector@@@hknpCompressedMeshShapeInternals@@
0x326e050	0x3d58e80	0x25dde90	.?AU?$BatchProcessorEx@V<lambda_142e95b70f9987ded50c90beb3c2a83f>@@@hkConcurrencyInternals@@
0x326e0b0	0x3d58ef0	0x25dbf50	.?AU?$BatchProcessorEx@V<lambda_471bff05c2a9b48fb3308e032119458a>@@@hkConcurrencyInternals@@
0x326e018	0x3d58e10	0x25ddb00	.?AU?$BatchProcessorEx@V<lambda_48c38cabb6193027008ab17be3a7e7a5>@@@hkConcurrencyInternals@@
0x2dba678	0x3d1a978	0xf2650,0x16d2560	.?AU?$BoolImplN@E@Detail@hkReflect@@
0x2dba6c0	0x3d1a9b0	0xf2680,0x16d2570	.?AU?$BoolImplN@G@Detail@hkReflect@@
0x2dba708	0x3d1a9e8	0xf26b0,0x16d2580	.?AU?$BoolImplN@I@Detail@hkReflect@@
0x2dba750	0x3d1aa20	0xf26e0,0x16d2590	.?AU?$BoolImplN@_N@Detail@hkReflect@@
0x2dbe3b8	0x3d1b9a0	0x16f9180	.?AU?$ChildArrayImpl@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe6a8	0x3d1b5d0	0x16f9890	.?AU?$ChildArrayImpl@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe320	0x3d1ba00	0x16f9180	.?AU?$ChildImpl@VArrayType@hkReflect@@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe610	0x3d1b630	0x16f9890	.?AU?$ChildImpl@VArrayType@hkReflect@@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe740	0x3d1b6a0	0x16f9280	.?AU?$ChildImpl@VBoolType@hkReflect@@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe1d0	0x3d1b2d0	0x16f99a0	.?AU?$ChildImpl@VBoolType@hkReflect@@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe7d0	0x3d1b780	0x16f9380	.?AU?$ChildImpl@VFloatType@hkReflect@@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe450	0x3d1b3b0	0x16f9aa0	.?AU?$ChildImpl@VFloatType@hkReflect@@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe788	0x3d1b710	0x16f9480	.?AU?$ChildImpl@VIntType@hkReflect@@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe2d8	0x3d1b340	0x16f9ba0	.?AU?$ChildImpl@VIntType@hkReflect@@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe168	0x3d1b860	0x16f9580	.?AU?$ChildImpl@VPointerType@hkReflect@@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe4e8	0x3d1b490	0x16f9ca0	.?AU?$ChildImpl@VPointerType@hkReflect@@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe218	0x3d1b930	0x16f9680	.?AU?$ChildImpl@VRecordType@hkReflect@@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe550	0x3d1b560	0x16f9da0	.?AU?$ChildImpl@VRecordType@hkReflect@@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe818	0x3d1b7f0	0x16f9780	.?AU?$ChildImpl@VStringType@hkReflect@@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe498	0x3d1b420	0x16f9eb0	.?AU?$ChildImpl@VStringType@hkReflect@@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe278	0x3d1b8d0	0x16f9680	.?AU?$ChildRecordImpl@UArrayParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2dbe5b0	0x3d1b500	0x16f9da0	.?AU?$ChildRecordImpl@URecordParentRef@?A0x0b66d840@@@?A0x0b66d840@@
0x2db3a10	0x3d186c8	0x16831c0	.?AU?$ClassWithHashMap@H@UnitTest@@
0x2bf8f50	0x3d0a3d0	0xb5a70	.?AU?$DefaultDelayDeleter@VCSFD4MoWwisebankResCap@CS@@@?A0xf77be428@@
0x2bf90b8	0x3d0a720	0xb5800	.?AU?$DefaultDelayDeleter@VCSFD4ModelVertexStreamPatch@CS@@@?A0xf77be428@@
0x2bf8ff0	0x3d0a540	0xb5a40	.?AU?$DefaultDelayDeleter@VCSMenuAsmModelRend@CS@@@?A0xf77be428@@
0x2bf9290	0x3d0a2e0	0xb5830	.?AU?$DefaultDelayDeleter@VCSPhysSysIns@CS@@@?A0xf77be428@@
0x2bf92b8	0x3d0a330	0xb5860	.?AU?$DefaultDelayDeleter@VCSRagdollIns@CS@@@?A0xf77be428@@
0x2bf8fc8	0x3d0a4e0	0xb5b60	.?AU?$DefaultDelayDeleter@VCSScaleformSwfPlayer@CS@@@?A0xf77be428@@
0x2bf8f78	0x3d0a430	0xb5890	.?AU?$DefaultDelayDeleter@VChrIns@CS@@@?A0xf77be428@@
0x2bf8f28	0x3d0a380	0xb58c0	.?AU?$DefaultDelayDeleter@VCsChrProxy@CS@@@?A0xf77be428@@
0x2bf8fa0	0x3d0a480	0xb5920	.?AU?$DefaultDelayDeleter@VFD4HkClothModelCtrl@FD4@@@?A0xf77be428@@
0x2bf9090	0x3d0a6c0	0xb5aa0	.?AU?$DefaultDelayDeleter@VSLLoadContent@SaveLoad2@@@?A0xf77be428@@
0x2bf9068	0x3d0a660	0xb5ad0	.?AU?$DefaultDelayDeleter@VSLSaveContent@SaveLoad2@@@?A0xf77be428@@
0x2dbfc00	0x3d1c4b0	0x16ffc60,0xf3990	.?AU?$EndianFloatImplN@MV?$EndianType@M$00@hkEndian@@@Detail@hkReflect@@
0x2dbfcf8	0x3d1bcb0	0x16ffee0,0xf39c0	.?AU?$EndianFloatImplN@MV?$EndianType@M$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbfd60	0x3d1bd10	0x16fffe0,0xf39f0	.?AU?$EndianFloatImplN@NV?$EndianType@N$00@hkEndian@@@Detail@hkReflect@@
0x2dbfe68	0x3d1bd70	0x16ff060,0xf3a20	.?AU?$EndianFloatImplN@NV?$EndianType@N$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbfaa0	0x3d1c3d0	0x16ff910,0xf3a50	.?AU?$EndianFloatImplN@VhkHalf16@@V?$EndianType@VhkHalf16@@$00@hkEndian@@@Detail@hkReflect@@
0x2dbfb50	0x3d1c440	0x16ffad0,0xf3a80	.?AU?$EndianFloatImplN@VhkHalf16@@V?$EndianType@VhkHalf16@@$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbfc68	0x3d1bdd0	0xf3ab0	.?AU?$EndianIntImplN@CV?$EndianType@C$00@hkEndian@@@Detail@hkReflect@@
0x2dbfe20	0x3d1be30	0xf3ae0	.?AU?$EndianIntImplN@CV?$EndianType@C$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbfbb8	0x3d1c0d0	0xf3b10	.?AU?$EndianIntImplN@EV?$EndianType@E$00@hkEndian@@@Detail@hkReflect@@
0x2dbfcb0	0x3d1c130	0xf3b40	.?AU?$EndianIntImplN@EV?$EndianType@E$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbf798	0x3d1be90	0xf3b70	.?AU?$EndianIntImplN@FV?$EndianType@F$00@hkEndian@@@Detail@hkReflect@@
0x2dbf848	0x3d1bef0	0xf3ba0	.?AU?$EndianIntImplN@FV?$EndianType@F$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbfdb8	0x3d1c190	0xf3bd0	.?AU?$EndianIntImplN@GV?$EndianType@G$00@hkEndian@@@Detail@hkReflect@@
0x2dbf720	0x3d1c1f0	0xf3c00	.?AU?$EndianIntImplN@GV?$EndianType@G$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbf8f8	0x3d1bf50	0xf3c30	.?AU?$EndianIntImplN@HV?$EndianType@H$00@hkEndian@@@Detail@hkReflect@@
0x2dbf9a8	0x3d1bfb0	0xf3c60	.?AU?$EndianIntImplN@HV?$EndianType@H$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbf7e0	0x3d1c250	0xf3c90	.?AU?$EndianIntImplN@IV?$EndianType@I$00@hkEndian@@@Detail@hkReflect@@
0x2dbf890	0x3d1c2b0	0xf3cc0	.?AU?$EndianIntImplN@IV?$EndianType@I$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbfa58	0x3d1c010	0xf3cf0	.?AU?$EndianIntImplN@_JV?$EndianType@_J$00@hkEndian@@@Detail@hkReflect@@
0x2dbfb08	0x3d1c070	0xf3d20	.?AU?$EndianIntImplN@_JV?$EndianType@_J$0A@@hkEndian@@@Detail@hkReflect@@
0x2dbf940	0x3d1c310	0xf3d50	.?AU?$EndianIntImplN@_KV?$EndianType@_K$00@hkEndian@@@Detail@hkReflect@@
0x2dbf9f0	0x3d1c370	0xf3d80	.?AU?$EndianIntImplN@_KV?$EndianType@_K$0A@@hkEndian@@@Detail@hkReflect@@
0x2dab918	0x3d18e80	0xec5b0	.?AU?$EnumPropertyImpl@W4Enum@hkPropertyFlags@@@Detail@hkReflect@@
0x2dbaa68	0x3d1ac88	0xf2710,0x16d25a0	.?AU?$FloatImplN@M@Detail@hkReflect@@
0x2dbaab0	0x3d1acc0	0xf2740,0x16d25b0	.?AU?$FloatImplN@N@Detail@hkReflect@@
0x2dba490	0x3d1a7a0	0xf2770,0x16d25c0	.?AU?$FloatImplN@VhkHalf16@@@Detail@hkReflect@@
0x2ef67f0	0x3d270c8	0x197c660	.?AU?$FunctionSlot@P6AXXZ@hkSignal0@@
0x2b93a20	0x3cfa600	0xc6efd0	.?AU?$GlobalSlot@P6AXAEBUhknpEventHandlerInput@@AEBUhknpEvent@@@Z@?$hkSignal2@AEBUhknpEventHandlerInput@@AEBUhknpEvent@@@@
0x3088ea8	0x3d3daf0	0x1e238d0,0x1e23cb0	.?AU?$HandshakeContext@URequestCreateSessionParams@FromNet@@@FNClientServant@FromNet@@
0x3088ec8	0x3d3db60	0x1e23930,0x1e23af0	.?AU?$HandshakeContext@URequestRestoreSessionParams@FromNet@@@FNClientServant@FromNet@@
0x2dba7e0	0x3d1aa90	0xf27a0,0x16d25d0	.?AU?$IntImplN@C@Detail@hkReflect@@
0x2dba448	0x3d1a760	0xf27d0,0x16d25e0	.?AU?$IntImplN@D@Detail@hkReflect@@
0x2dba798	0x3d1aa58	0xf2800,0x16d25f0	.?AU?$IntImplN@E@Detail@hkReflect@@
0x2dba828	0x3d1aac8	0xf2830,0x16d2600	.?AU?$IntImplN@F@Detail@hkReflect@@
0x2dba870	0x3d1ab00	0xf2860,0x16d2610	.?AU?$IntImplN@G@Detail@hkReflect@@
0x2dba8b8	0x3d1ab38	0xf2890,0x16d2620	.?AU?$IntImplN@H@Detail@hkReflect@@
0x2dba900	0x3d1ab70	0xf28c0,0x16d2630	.?AU?$IntImplN@I@Detail@hkReflect@@
0x2dba948	0x3d1aba8	0xf28f0,0x16d2640	.?AU?$IntImplN@J@Detail@hkReflect@@
0x2dba990	0x3d1abe0	0xf2920,0x16d2650	.?AU?$IntImplN@K@Detail@hkReflect@@
0x2dba9d8	0x3d1ac18	0xf2950,0x16d2660	.?AU?$IntImplN@_J@Detail@hkReflect@@
0x2dbaa20	0x3d1ac50	0xf2980,0x16d2670	.?AU?$IntImplN@_K@Detail@hkReflect@@
0x2ef3710	0x3d24ca0	0x194fea0	.?AU?$MemberSlot@UHideFilteredBodiesEx@?A0x7a58520c@@P812@EAAXAEAVhknpProcessContext@@PEBVhknpWorld@@UhknpBodyId@@@Z@?$hkSignal3@AEAVhknpProcessContext@@PEBVhknpWorld@@UhknpBodyId@@@@
0x2ef13c0	0x3d241d0	0x192bc30	.?AU?$MemberSlot@UMutableShapeInfo@hknpShapeManager@@P812@EAAXPEBVhknpShape@@@Z@?$hkSignal1@PEBVhknpShape@@@@
0x2ef1390	0x3d24150	0x192bcd0	.?AU?$MemberSlot@UMutableShapeInfo@hknpShapeManager@@P812@EAAXPEBVhknpShape@@E@Z@?$hkSignal2@PEBVhknpShape@@E@@
0x3269768	0x3d55330	0x2572fb0	.?AU?$MemberSlot@UhclClothContextEx@@P81@EAAXPEAVhclWorld@@@Z@?$hkSignal1@PEAVhclWorld@@@@
0x326b920	0x3d58560	0x25ad7e0	.?AU?$MemberSlot@UhclViewerEx@@P81@EAAXAEAVhclClothContext@@AEAVhclWorld@@@Z@?$hkSignal2@AEAVhclClothContext@@AEAVhclWorld@@@@
0x2ef4f90	0x3d261a0	0x1967850	.?AU?$MemberSlot@UhknpCharacterProxyViewerEx@@P81@EAAXPEAVhknpCharacterProxy@@@Z@?$hkSignal1@PEAVhknpCharacterProxy@@@@
0x2ef4fc0	0x3d26230	0x19678f0	.?AU?$MemberSlot@UhknpCharacterProxyViewerEx@@P81@EAAXPEBVhknpCharacterProxy@@@Z@?$hkSignal1@PEAVhknpCharacterProxy@@@@
0x2ef0508	0x3d23920	0x18f8fc0	.?AU?$MemberSlot@UhknpConstraintViewerEx@@P81@EAAXPEAVhknpWorld@@AEBUhknpStepInput@@@Z@?$hkSignal2@PEAVhknpWorld@@AEBUhknpStepInput@@@@
0x2ef04d8	0x3d23880	0x18f9060	.?AU?$MemberSlot@UhknpConstraintViewerEx@@P81@EAAXPEAVhknpWorld@@PEBVhknpConstraint@@@Z@?$hkSignal2@PEAVhknpWorld@@PEAVhknpConstraint@@@@
0x2ef04a8	0x3d23790	0x18f9100	.?AU?$MemberSlot@UhknpConstraintViewerEx@@P81@EAAXPEAVhknpWorld@@U?$hkHandle@I$0HPPPPPPP@UhknpConstraintIdDiscriminant@@@@@Z@?$hkSignal2@PEAVhknpWorld@@U?$hkHandle@I$0HPPPPPPP@UhknpConstraintIdDiscriminant@@@@@@
0x2ef58f8	0x3d26b20	0x19710c0	.?AU?$MemberSlot@UhknpEventsViewerEx@?A0xc557862b@@P812@EAAXPEAVhknpWorld@@PEBUhknpBodyId@@H@Z@?$hkSignal3@PEAVhknpWorld@@PEBUhknpBodyId@@H@@
0x2ef4118	0x3d25a00	0x195dad0	.?AU?$MemberSlot@UhknpMassPropertiesViewerEx@@P81@EAAXPEAVhknpWorld@@PEBUhknpBodyId@@H@Z@?$hkSignal3@PEAVhknpWorld@@PEBUhknpBodyId@@H@@
0x2ef4148	0x3d25aa0	0x195db70	.?AU?$MemberSlot@UhknpMassPropertiesViewerEx@@P81@EAAXPEAVhknpWorld@@UhknpBodyId@@W4Enum@hknpMotionType@@@Z@?$hkSignal3@PEAVhknpWorld@@UhknpBodyId@@W4Enum@hknpMotionType@@@@
0x2eef590	0x3d22da0	0x18b3290	.?AU?$MemberSlot@UhknpProcessContextEx@@P81@EAAXAEAVhknpViewerColorScheme@@@Z@?$hkSignal1@AEAVhknpViewerColorScheme@@@@
0x2eef560	0x3d22d30	0x18b3330	.?AU?$MemberSlot@UhknpProcessContextEx@@P81@EAAXPEAVhknpWorld@@@Z@?$hkSignal1@PEAVhknpWorld@@@@
0x2eef6c8	0x3d22f10	0x18ba380	.?AU?$MemberSlot@UhknpShapeInstance@@P81@EAAXPEBVhknpShape@@@Z@?$hkSignal1@PEBVhknpShape@@@@
0x2eef698	0x3d22ea0	0x18ba420	.?AU?$MemberSlot@UhknpShapeInstance@@P81@EAAXPEBVhknpShape@@E@Z@?$hkSignal2@PEBVhknpShape@@E@@
0x2ef3fb0	0x3d25870	0x19542b0	.?AU?$MemberSlot@UhknpShapeViewerEx@@P81@EAAXPEAVhknpWorld@@PEBUhknpBodyId@@H@Z@?$hkSignal3@PEAVhknpWorld@@PEBUhknpBodyId@@H@@
0x2ef3fe0	0x3d25900	0x1954350	.?AU?$MemberSlot@UhknpShapeViewerEx@@P81@EAAXPEAVhknpWorld@@UhknpBodyId@@AEAV?$hkRefPtr@$$CBVhknpShape@@@@@Z@?$hkSignal3@PEAVhknpWorld@@UhknpBodyId@@AEAV?$hkRefPtr@$$CBVhknpShape@@@@@@
0x2ef6950	0x3d271f0	0x1989060	.?AU?$MemberSlot@UhknpViewerEx@@P81@EAAXAEAVhknpProcessContext@@AEAVhknpWorld@@@Z@?$hkSignal2@AEAVhknpProcessContext@@AEAVhknpWorld@@@@
0x2ef57d0	0x3d26a10	0x196ecc0	.?AU?$MemberSlot@UhknpWorldApiCommandViewerEx@?A0x72be77d9@@P812@EAAXPEAVhknpWorld@@PEBUhknpBodyId@@H@Z@?$hkSignal3@PEAVhknpWorld@@PEBUhknpBodyId@@H@@
0x2b92090	0x3cfa060	0xc61de0	.?AU?$MemberSlot@VCSHavokBufferCapacity@CS@@P812@EAAXPEAVhknpWorld@@PEAVhknpBodyManager@@@Z@?$hkSignal2@PEAVhknpWorld@@PEAVhknpBodyManager@@@@
